,Comp_Name,Div_Rate,Div_Yield,Ex_Div,Industry,Price,Price2Book,QuickRatio,Sector,Ticker,Tot.Cash/Share,FCF
89,"Symbol Lookup from Yahoo Finance"",""description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""keywords"":""symbol lookup, ticker lookup, stock symbol lookup"",""meta"":{""property"":{""twitter:site"":""@YahooFinance"",""fb:pages"":""458584288257241"",""og:image"":""https:\\u002F\\u002Fs.yimg.com\\u002Fcv\\u002Fapiv2\\u002Fsocial\\u002Fimages\\u002Fyahoo_default_logo.png"",""og:description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""og:title"":""Symbol Lookup from Yahoo Finance"",""twitter:description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""twitter:title"":""Symbol Lookup from Yahoo Finance"",""al:ios:app_store_id"":""328412701"",""al:ios:app_name"":""Yahoo Finance"",""al:android:url"":""intent:\\u002F\\u002F#Intent;scheme=yfinance;action=android.intent.action.VIEW;package=com.yahoo.mobile.client.android.finance;S.browser_fallback_url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.yahoo.mobile.client.android.finance;end"",""al:android:app_name"":""Yahoo Finance"",""al:android:package"":""com.yahoo.mobile.client.android.finance""},""name"":{""apple-itunes-app"":""app-id=328412701, app-clip-bundle-id=com.yahoo.finance.clip-qsp, affiliate-data=ct=us.fin.mbl.smart-banner&pt=9029, app-argument=https:\\u002F\\u002Ffinance.yahoo.com\\u002F"",""oath:guce:consent-host"":""guce.yahoo.com""}}},""spaceid"":null,""status"":{""code"":200,""headers"":null,""redirect"":null,""responseBody"":null,""responseHTML"":null},""appConfig"":{""timeouts"":{""navigate"":10000},""spaceid"":1183300002,""renderTargets"":[{""classNames"":""render-target-default Pos(a)",0,0,0,0,0,2:59PM EDT,0,0,trgp,0,792.90M
90,New Residential Investment Corp (NRZ),0.80,7.67,2021-04-01,REIT\xe2\x80\x94Mortgage,10.43,0.96,0.19,Real Estate,nrz,2.98,1.32B
91,Broadcom Inc. (AVGO),14.40,3.09,2021-03-19,Semiconductors,466.13,7.93,1.80,Technology,avgo,23.39,11.60B
92,"ONEOK, Inc. (OKE)",3.74,7.39,2021-04-23,Oil & Gas Midstream,50.60,3.73,1.01,Energy,oke,1.18,-296.31M
93,"AG Mortgage Investment Trust, I (MITT)",0,0,2021-03-31,REIT\xe2\x80\x94Mortgage,3.78,0.91,1.05,Real Estate,mitt,1.16,4.16M
94,Falcon Minerals Corporation (FLMN),0.20,4.45,2021-02-24,Oil & Gas E&P,4.43,1.65,2.63,Energy,flmn,0.06,25.00M
95,"Cisco Systems, Inc. (CSCO)",1.48,2.85,2021-04-05,Communication Equipment,51.91,5.60,1.47,Technology,csco,7.25,14.66B
96,"Symbol Lookup from Yahoo Finance"",""description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""keywords"":""symbol lookup, ticker lookup, stock symbol lookup"",""meta"":{""property"":{""twitter:site"":""@YahooFinance"",""fb:pages"":""458584288257241"",""og:image"":""https:\\u002F\\u002Fs.yimg.com\\u002Fcv\\u002Fapiv2\\u002Fsocial\\u002Fimages\\u002Fyahoo_default_logo.png"",""og:description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""og:title"":""Symbol Lookup from Yahoo Finance"",""twitter:description"":""Search for ticker symbols for Stocks, Mutual Funds, ETFs, Indices and Futures on Yahoo! Finance."",""twitter:title"":""Symbol Lookup from Yahoo Finance"",""al:ios:app_store_id"":""328412701"",""al:ios:app_name"":""Yahoo Finance"",""al:android:url"":""intent:\\u002F\\u002F#Intent;scheme=yfinance;action=android.intent.action.VIEW;package=com.yahoo.mobile.client.android.finance;S.browser_fallback_url=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.yahoo.mobile.client.android.finance;end"",""al:android:app_name"":""Yahoo Finance"",""al:android:package"":""com.yahoo.mobile.client.android.finance""},""name"":{""apple-itunes-app"":""app-id=328412701, app-clip-bundle-id=com.yahoo.finance.clip-qsp, affiliate-data=ct=us.fin.mbl.smart-banner&pt=9029, app-argument=https:\\u002F\\u002Ffinance.yahoo.com\\u002F"",""oath:guce:consent-host"":""guce.yahoo.com""}}},""spaceid"":null,""status"":{""code"":200,""headers"":null,""redirect"":null,""responseBody"":null,""responseHTML"":null},""appConfig"":{""timeouts"":{""navigate"":10000},""spaceid"":1183300002,""renderTargets"":[{""classNames"":""render-target-default Pos(a)",0,0,0,0,0,2:59PM EDT,0,0,v,0,9.70B
97,Union Pacific Corporation (UNP),3.88,1.78,2021-02-25,Railroads,223.54,8.85,0.81,Industrials,unp,2.78,5.61B
98,Viper Energy Partners LP (VNOM),0.56,3.20,2021-03-03,Oil & Gas Midstream,17.28,1.79,1.19,Energy,vnom,0.29,130.88M
