index,0,1
2015-12-29,0.3,nly
2015-09-28,0.3,nly
2015-06-26,0.3,nly
2015-03-27,0.3,nly
2014-12-29,0.3,nly
2014-09-29,0.3,nly
2014-06-27,0.3,nly
2014-03-28,0.3,nly
2013-12-27,0.3,nly
2013-09-27,0.35,nly
2013-06-27,0.4,nly
2013-03-27,0.45,nly
2021-05-28,0.25,lumn
2021-03-05,0.25,lumn
2020-11-27,0.25,lumn
2020-08-28,0.25,lumn
2020-05-29,0.25,lumn
2020-03-06,0.25,lumn
2019-11-29,0.25,lumn
2019-08-29,0.25,lumn
2019-05-31,0.25,lumn
2019-03-11,0.25,lumn
2018-11-23,0.54,lumn
2018-08-30,0.54,lumn
2018-06-01,0.54,lumn
2018-03-02,0.54,lumn
2017-11-24,0.54,lumn
2017-08-31,0.54,lumn
2017-06-01,0.54,lumn
2017-03-01,0.54,lumn
2016-11-23,0.54,lumn
2016-08-31,0.54,lumn
2016-05-26,0.54,lumn
2016-03-02,0.54,lumn
2015-11-20,0.54,lumn
2015-09-03,0.54,lumn
2015-05-29,0.54,lumn
2015-03-04,0.54,lumn
2014-11-20,0.54,lumn
2014-08-27,0.54,lumn
2014-06-05,0.54,lumn
2014-03-06,0.54,lumn
2013-11-21,0.54,lumn
2013-09-04,0.54,lumn
2013-05-30,0.54,lumn
2013-03-07,0.54,lumn
